"";BBSIS.M.I.ZST.ZI.EUR.S1311.B.A604.R12XX.R.A.A._Z._Z.A;BBSIS.M.I.ZST.ZI.EUR.S1311.B.A604.R12XX.R.A.A._Z._Z.A_FLAGS
"";Zinsstrukturkurve (Svensson-Methode) / Börsennotierte Bundeswertpapiere / 12,0 Jahr(e) RLZ / Monatswerte;
Dezimalstellen;2;
Dimension;Eins;
Einheit;Prozent;
Einheit (englisch);percent;
Format der Zeitangabe;P1M;
Kategorie;GKZR;
Stand vom;02.12.2024 09:57:50 Uhr;
1986-06;6,20;
1986-07;6,18;
1986-08;5,99;
1986-09;6,39;
1986-10;6,66;
1986-11;6,28;
1986-12;6,31;
1987-01;6,29;
1987-02;6,48;
1987-03;6,10;
1987-04;6,12;
1987-05;6,16;
1987-06;6,66;
1987-07;6,86;
1987-08;7,01;
1987-09;7,35;
1987-10;6,91;
1987-11;6,84;
1987-12;7,04;
1988-01;7,20;
1988-02;6,83;
1988-03;6,87;
1988-04;7,12;
1988-05;7,30;
1988-06;7,22;
1988-07;7,31;
1988-08;7,22;
1988-09;6,96;
1988-10;6,71;
1988-11;6,88;
1988-12;6,88;
1989-01;6,88;
1989-02;7,05;
1989-03;7,09;
1989-04;6,92;
1989-05;7,07;
1989-06;6,85;
1989-07;6,66;
1989-08;6,86;
1989-09;6,98;
1989-10;7,10;
1989-11;7,33;
1989-12;7,30;
1990-01;7,76;
1990-02;8,63;
1990-03;8,39;
1990-04;8,89;
1990-05;8,77;
1990-06;8,69;
1990-07;8,53;
1990-08;8,97;
1990-09;9,14;
1990-10;8,95;
1990-11;8,72;
1990-12;9,09;
1991-01;8,45;
1991-02;8,20;
1991-03;8,34;
1991-04;8,13;
1991-05;8,09;
1991-06;8,30;
1991-07;8,49;
1991-08;8,19;
1991-09;8,14;
1991-10;8,07;
1991-11;7,95;
1991-12;7,77;
1992-01;7,59;
1992-02;7,58;
1992-03;7,60;
1992-04;7,78;
1992-05;7,75;
1992-06;7,85;
1992-07;7,86;
1992-08;7,76;
1992-09;7,36;
1992-10;7,23;
1992-11;7,16;
1992-12;7,09;
1993-01;7,00;
1993-02;6,78;
1993-03;6,86;
1993-04;6,91;
1993-05;6,98;
1993-06;6,81;
1993-07;6,68;
1993-08;6,33;
1993-09;6,35;
1993-10;6,15;
1993-11;6,16;
1993-12;6,02;
