"";BBIN1.M.DE.BBK.BBKBAS2.EUR.ME;BBIN1.M.DE.BBK.BBKBAS2.EUR.ME_FLAGS
"";Basiszinssatz gemäß BGB / Stand am Monatsende / SU0115;
Dezimalstellen;2;
Dimension;Eins;
Einheit;% p.a.;
Format der Zeitangabe;P1M;
Grafikposition;E;
Kategorie;GKZR;
Kommentar;Der Basiszinssatz des Bürgerlichen Gesetzbuchs (§ 247 BGB) tritt mit Wirkung vom 1. Januar 2002 an die Stelle des Basiszinssatzes nach dem DÜG (Zeitreihe BBIN1.M.DE.BBK.BBKBAS1.EUR.ME), soweit dieser als Bezugsgröße für Zinsen und andere Leistungen in Rechtsvorschriften des Bundes auf dem Gebiet des Bürgerlichen Rechts und des Verfahrensrechts der Gerichte, in nach dem EGBGB vorbehaltenem Landesrecht und in Vollstreckungstiteln und Verträgen auf Grund solcher Vorschriften verwendet wird. Er beträgt 3,62 % und verändert sich zum 1. Januar und 1. Juli eines jeden Jahres (erstmals zum 1. Januar 2002) um die Prozentpunkte, um welche die Bezugsgröße (jüngste Hauptrefinanzierungsoperation der EZB, marginaler Satz) seit der letzten Veränderung des Basiszinssatzes gestiegen oder gefallen ist. Gemäß Versicherungskapitalanlagen-Bewertungsgesetz (VersKapAG) Artikel 4 § 1 werden das DÜG und die Basiszinssatz-Bezugsgrößen-Verordnung aufgehoben. Nach Artikel 4 § 2 VersKapAG tritt ab 4. April 2002 an die Stelle des Diskontsatzes und des Basiszinssatzes gemäß DÜG der Basiszinssatz gemäß § 247 BGB. Somit verliert nun der Basiszinssatz gemäß DÜG ab 4. April 2002 endgültig seine Bedeutung für ab diesem Termin entstehende Forderungen. Insofern haben Inhaber von Forderungen, für die nach dem 1. Januar 2002 noch der DÜG-Basiszinssatz galt, mit dem Inkrafttreten des VersKapAG am 4. April 2002 ihre Zinsberechnung unmittelbar anzupassen.;
Stand vom;02.12.2024 16:50:26 Uhr;
2002-01;2,57;Bemerkung
2002-02;2,57;
2002-03;2,57;
2002-04;2,57;
2002-05;2,57;
2002-06;2,57;
2002-07;2,47;Bemerkung
2002-08;2,47;
2002-09;2,47;
2002-10;2,47;
2002-11;2,47;
2002-12;2,47;
2003-01;1,97;Bemerkung
2003-02;1,97;
2003-03;1,97;
2003-04;1,97;
2003-05;1,97;
2003-06;1,97;
2003-07;1,22;Bemerkung
2003-08;1,22;
2003-09;1,22;
2003-10;1,22;
2003-11;1,22;
2003-12;1,22;
2004-01;1,14;Bemerkung
2004-02;1,14;
2004-03;1,14;
2004-04;1,14;
2004-05;1,14;
2004-06;1,14;
