Datum,Feiertag
01.01.1970,Neujahrstag
27.03.1970,Karfreitag
30.03.1970,Ostermontag
01.05.1970,Tag der Arbeit
07.05.1970,Christi Himmelfahrt
18.05.1970,Pfingstmontag
24.12.1970,Heiligabend
25.12.1970,Erster Weihnachtstag
26.12.1970,Zweiter Weihnachtstag
31.12.1970,Silvester
01.01.1971,Neujahrstag
09.04.1971,Karfreitag
12.04.1971,Ostermontag
01.05.1971,Tag der Arbeit
20.05.1971,Christi Himmelfahrt
31.05.1971,Pfingstmontag
24.12.1971,Heiligabend
25.12.1971,Erster Weihnachtstag
26.12.1971,Zweiter Weihnachtstag
31.12.1971,Silvester
01.01.1972,Neujahrstag
31.03.1972,Karfreitag
03.04.1972,Ostermontag
01.05.1972,Tag der Arbeit
11.05.1972,Christi Himmelfahrt
22.05.1972,Pfingstmontag
24.12.1972,Heiligabend
25.12.1972,Erster Weihnachtstag
26.12.1972,Zweiter Weihnachtstag
31.12.1972,Silvester
01.01.1973,Neujahrstag
20.04.1973,Karfreitag
23.04.1973,Ostermontag
01.05.1973,Tag der Arbeit
31.05.1973,Christi Himmelfahrt
11.06.1973,Pfingstmontag
24.12.1973,Heiligabend
25.12.1973,Erster Weihnachtstag
26.12.1973,Zweiter Weihnachtstag
31.12.1973,Silvester
01.01.1974,Neujahrstag
12.04.1974,Karfreitag
15.04.1974,Ostermontag
01.05.1974,Tag der Arbeit
23.05.1974,Christi Himmelfahrt
03.06.1974,Pfingstmontag
24.12.1974,Heiligabend
25.12.1974,Erster Weihnachtstag
26.12.1974,Zweiter Weihnachtstag
31.12.1974,Silvester
01.01.1975,Neujahrstag
28.03.1975,Karfreitag
31.03.1975,Ostermontag
01.05.1975,Tag der Arbeit
08.05.1975,Christi Himmelfahrt
19.05.1975,Pfingstmontag
24.12.1975,Heiligabend
25.12.1975,Erster Weihnachtstag
26.12.1975,Zweiter Weihnachtstag
31.12.1975,Silvester
01.01.1976,Neujahrstag
16.04.1976,Karfreitag
19.04.1976,Ostermontag
01.05.1976,Tag der Arbeit
27.05.1976,Christi Himmelfahrt
07.06.1976,Pfingstmontag
24.12.1976,Heiligabend
25.12.1976,Erster Weihnachtstag
26.12.1976,Zweiter Weihnachtstag
31.12.1976,Silvester
01.01.1977,Neujahrstag
08.04.1977,Karfreitag
11.04.1977,Ostermontag
01.05.1977,Tag der Arbeit
19.05.1977,Christi Himmelfahrt
30.05.1977,Pfingstmontag
24.12.1977,Heiligabend
25.12.1977,Erster Weihnachtstag
26.12.1977,Zweiter Weihnachtstag
31.12.1977,Silvester
01.01.1978,Neujahrstag
24.03.1978,Karfreitag
27.03.1978,Ostermontag
01.05.1978,Tag der Arbeit
04.05.1978,Christi Himmelfahrt
15.05.1978,Pfingstmontag
24.12.1978,Heiligabend
25.12.1978,Erster Weihnachtstag
26.12.1978,Zweiter Weihnachtstag
31.12.1978,Silvester
01.01.1979,Neujahrstag
13.04.1979,Karfreitag
16.04.1979,Ostermontag
01.05.1979,Tag der Arbeit
24.05.1979,Christi Himmelfahrt
04.06.1979,Pfingstmontag
24.12.1979,Heiligabend
25.12.1979,Erster Weihnachtstag
26.12.1979,Zweiter Weihnachtstag
31.12.1979,Silvester
01.01.1980,Neujahrstag
04.04.1980,Karfreitag
07.04.1980,Ostermontag
01.05.1980,Tag der Arbeit
15.05.1980,Christi Himmelfahrt
26.05.1980,Pfingstmontag
24.12.1980,Heiligabend
25.12.1980,Erster Weihnachtstag
26.12.1980,Zweiter Weihnachtstag
31.12.1980,Silvester
01.01.1981,Neujahrstag
17.04.1981,Karfreitag
20.04.1981,Ostermontag
01.05.1981,Tag der Arbeit
28.05.1981,Christi Himmelfahrt
08.06.1981,Pfingstmontag
24.12.1981,Heiligabend
25.12.1981,Erster Weihnachtstag
26.12.1981,Zweiter Weihnachtstag
31.12.1981,Silvester
01.01.1982,Neujahrstag
09.04.1982,Karfreitag
12.04.1982,Ostermontag
01.05.1982,Tag der Arbeit
20.05.1982,Christi Himmelfahrt
31.05.1982,Pfingstmontag
24.12.1982,Heiligabend
25.12.1982,Erster Weihnachtstag
26.12.1982,Zweiter Weihnachtstag
31.12.1982,Silvester
01.01.1983,Neujahrstag
01.04.1983,Karfreitag
04.04.1983,Ostermontag
01.05.1983,Tag der Arbeit
12.05.1983,Christi Himmelfahrt
23.05.1983,Pfingstmontag
24.12.1983,Heiligabend
25.12.1983,Erster Weihnachtstag
26.12.1983,Zweiter Weihnachtstag
31.12.1983,Silvester
01.01.1984,Neujahrstag
20.04.1984,Karfreitag
23.04.1984,Ostermontag
01.05.1984,Tag der Arbeit
