Datum;Eröffnung;Hoch;Tief;Schluss;Währung;Volumen
06.03.2024;29,670;29,725;29,670;29,725;EUR;0
07.03.2024;29,610;29,810;29,610;29,810;EUR;1
08.03.2024;29,885;29,885;29,795;29,815;EUR;1700
11.03.2024;29,615;29,640;29,515;29,640;EUR;924
12.03.2024;29,775;29,900;29,720;29,900;EUR;5
13.03.2024;29,995;29,995;29,905;29,905;EUR;1789
14.03.2024;29,990;29,995;29,840;29,960;EUR;6681
15.03.2024;29,985;29,990;29,750;29,750;EUR;444
18.03.2024;29,845;30,070;29,815;30,070;EUR;3527
19.03.2024;30,025;30,110;29,910;30,110;EUR;269
20.03.2024;30,170;30,250;30,170;30,200;EUR;4
21.03.2024;30,455;30,670;30,455;30,670;EUR;804
22.03.2024;30,685;30,685;30,650;30,650;EUR;0
25.03.2024;30,625;30,625;30,500;30,540;EUR;15
26.03.2024;30,565;30,600;30,565;30,600;EUR;0
27.03.2024;30,575;30,635;30,565;30,565;EUR;325
28.03.2024;30,785;30,805;30,745;30,785;EUR;534
02.04.2024;30,950;30,950;30,565;30,565;EUR;6084
03.04.2024;30,620;30,620;30,540;30,575;EUR;3326
04.04.2024;30,545;30,600;30,510;30,600;EUR;3065
05.04.2024;30,165;30,405;30,140;30,405;EUR;943
08.04.2024;30,385;30,460;30,385;30,415;EUR;729
09.04.2024;30,400;30,400;30,200;30,225;EUR;80
10.04.2024;30,455;30,480;30,330;30,425;EUR;1273
11.04.2024;30,485;30,530;30,345;30,530;EUR;2640
12.04.2024;30,880;30,880;30,645;30,705;EUR;4095
15.04.2024;30,675;30,800;30,610;30,635;EUR;8077
16.04.2024;30,175;30,195;30,105;30,155;EUR;2
17.04.2024;30,090;30,220;29,940;29,940;EUR;1557
18.04.2024;29,910;30,000;29,875;30,000;EUR;2381
19.04.2024;29,660;29,700;29,650;29,650;EUR;1340
22.04.2024;29,650;29,705;29,635;29,635;EUR;0
23.04.2024;29,835;29,985;29,720;29,985;EUR;74
24.04.2024;30,145;30,145;30,020;30,020;EUR;30
25.04.2024;29,805;29,805;29,600;29,600;EUR;473
26.04.2024;30,075;30,225;30,065;30,225;EUR;160
29.04.2024;30,235;30,235;30,190;30,190;EUR;0
30.04.2024;30,255;30,270;30,115;30,115;EUR;3359
02.05.2024;29,830;29,940;29,790;29,805;EUR;259
03.05.2024;29,995;30,100;29,965;30,100;EUR;0
06.05.2024;30,220;30,330;30,220;30,330;EUR;1
07.05.2024;30,590;30,590;30,480;30,545;EUR;801
08.05.2024;30,610;30,610;30,490;30,570;EUR;646
09.05.2024;30,575;30,615;30,575;30,615;EUR;228
10.05.2024;30,715;30,760;30,700;30,700;EUR;5
13.05.2024;30,755;30,755;30,660;30,660;EUR;0
14.05.2024;30,675;30,675;30,625;30,625;EUR;0
15.05.2024;30,740;30,915;30,730;30,915;EUR;69
16.05.2024;31,000;31,055;31,000;31,055;EUR;2972
17.05.2024;30,950;31,005;30,905;30,905;EUR;205
20.05.2024;30,965;31,095;30,965;31,095;EUR;0
21.05.2024;31,025;31,040;30,990;31,040;EUR;3
22.05.2024;31,080;31,140;31,080;31,125;EUR;0
23.05.2024;31,285;31,285;31,160;31,160;EUR;21
24.05.2024;30,910;30,980;30,910;30,980;EUR;3050
27.05.2024;30,985;31,040;30,960;31,040;EUR;3
28.05.2024;31,020;31,020;30,920;30,930;EUR;0
29.05.2024;30,890;30,915;30,855;30,915;EUR;0
30.05.2024;30,760;30,825;30,660;30,685;EUR;4116
31.05.2024;30,730;30,730;30,430;30,430;EUR;32
03.06.2024;30,930;30,930;30,685;30,685;EUR;3087
04.06.2024;30,670;30,685;30,645;30,645;EUR;708
05.06.2024;30,865;31,070;30,855;31,070;EUR;595
06.06.2024;31,195;31,230;31,175;31,175;EUR;1
07.06.2024;31,220;31,440;31,150;31,440;EUR;1
10.06.2024;31,510;31,590;31,510;31,590;EUR;0
11.06.2024;31,580;31,640;31,570;31,640;EUR;589
12.06.2024;31,775;31,855;31,730;31,790;EUR;1672
13.06.2024;31,935;31,965;31,885;31,965;EUR;100
14.06.2024;32,140;32,185;32,030;32,160;EUR;660
17.06.2024;32,265;32,265;32,160;32,240;EUR;120
18.06.2024;32,395;32,450;32,380;32,380;EUR;262
19.06.2024;32,490;32,490;32,440;32,480;EUR;1794
20.06.2024;32,670;32,670;32,530;32,550;EUR;3649
21.06.2024;32,455;32,530;32,455;32,475;EUR;138
24.06.2024;32,450;32,460;32,345;32,450;EUR;1527
25.06.2024;32,260;32,400;32,255;32,400;EUR;3467
26.06.2024;32,520;32,595;32,450;32,480;EUR;497
27.06.2024;32,495;32,495;32,445;32,445;EUR;0
28.06.2024;32,660;32,680;32,610;32,610;EUR;2
01.07.2024;32,355;32,380;32,270;32,380;EUR;247
02.07.2024;32,340;32,465;32,335;32,465;EUR;1786
03.07.2024;32,560;32,575;32,430;32,500;EUR;1103
04.07.2024;32,620;32,620;32,560;32,560;EUR;1029
05.07.2024;32,560;32,595;32,520;32,595;EUR;155
08.07.2024;32,675;32,740;32,665;32,700;EUR;2179
09.07.2024;32,775;32,850;32,775;32,850;EUR;1891
10.07.2024;32,785;32,880;32,785;32,870;EUR;2583
11.07.2024;33,055;33,055;32,700;32,700;EUR;1731
12.07.2024;32,720;32,855;32,620;32,855;EUR;2898
15.07.2024;32,990;32,990;32,870;32,960;EUR;47
16.07.2024;32,905;33,005;32,905;33,005;EUR;620
17.07.2024;32,890;32,890;32,575;32,575;EUR;711
18.07.2024;32,630;32,630;32,340;32,340;EUR;1860
19.07.2024;32,330;32,420;32,200;32,200;EUR;223
22.07.2024;32,250;32,345;32,250;32,320;EUR;1656
23.07.2024;32,450;32,705;32,450;32,705;EUR;7
24.07.2024;32,325;32,325;31,990;31,990;EUR;701
25.07.2024;31,895;31,895;31,670;31,880;EUR;2132
26.07.2024;31,770;31,900;31,770;31,880;EUR;476
29.07.2024;32,095;32,185;31,975;31,975;EUR;11654
30.07.2024;32,090;32,110;31,935;31,935;EUR;425
31.07.2024;32,160;32,435;32,150;32,430;EUR;396
01.08.2024;32,690;32,690;32,205;32,205;EUR;2332
02.08.2024;31,575;31,650;30,845;30,915;EUR;364
05.08.2024;30,240;30,250;29,890;30,180;EUR;1923
06.08.2024;30,440;30,495;30,240;30,480;EUR;5675
07.08.2024;30,575;30,840;30,570;30,840;EUR;466
08.08.2024;30,140;30,810;30,135;30,810;EUR;579
09.08.2024;30,910;31,010;30,860;30,965;EUR;498
12.08.2024;31,090;31,155;31,020;31,020;EUR;213
13.08.2024;31,170;31,340;31,110;31,340;EUR;615
14.08.2024;31,400;31,425;31,280;31,425;EUR;1296
15.08.2024;31,530;32,100;31,520;32,100;EUR;49
16.08.2024;32,160;32,160;31,950;32,030;EUR;59
19.08.2024;31,955;32,050;31,950;32,050;EUR;86
20.08.2024;32,205;32,260;32,035;32,035;EUR;202
21.08.2024;32,025;32,075;32,025;32,030;EUR;0
22.08.2024;32,075;32,165;32,065;32,065;EUR;0
