Datum;Eröffnung;Hoch;Tief;Schluss;Währung;Volumen
24.02.2010;0,636;0,636;0,636;0,636;EUR;0
25.02.2010;0,634;0,638;0,626;0,627;EUR;2517985.611511
26.02.2010;0,630;0,630;0,630;0,630;EUR;0
02.03.2010;0,659;0,659;0,659;0,659;EUR;632494.004796
04.03.2010;0,649;0,649;0,649;0,649;EUR;2997.601918
08.03.2010;0,671;0,671;0,671;0,671;EUR;0
09.03.2010;0,671;0,671;0,670;0,671;EUR;1798561.151079
10.03.2010;0,680;0,680;0,680;0,680;EUR;15287.769784
11.03.2010;0,675;0,675;0,675;0,675;EUR;0
12.03.2010;0,672;0,672;0,672;0,672;EUR;0
15.03.2010;0,674;0,674;0,674;0,674;EUR;0
16.03.2010;0,682;0,682;0,682;0,682;EUR;1198741.007194
22.03.2010;0,709;0,709;0,709;0,709;EUR;0
25.03.2010;0,743;0,750;0,743;0,750;EUR;1199.040767
31.03.2010;0,723;0,723;0,723;0,723;EUR;0
01.04.2010;0,727;0,728;0,727;0,728;EUR;13788.968825
06.04.2010;0,748;0,748;0,748;0,748;EUR;2997.601918
07.04.2010;0,760;0,760;0,760;0,760;EUR;0
08.04.2010;0,752;0,752;0,752;0,752;EUR;0
09.04.2010;0,751;0,751;0,751;0,751;EUR;0
12.04.2010;0,746;0,746;0,746;0,746;EUR;0
13.04.2010;0,742;0,742;0,742;0,742;EUR;0
14.04.2010;0,747;0,747;0,747;0,747;EUR;0
15.04.2010;0,765;0,765;0,765;0,765;EUR;23681.055156
16.04.2010;0,751;0,751;0,751;0,751;EUR;0
19.04.2010;0,752;0,752;0,752;0,752;EUR;0
21.04.2010;0,778;0,778;0,778;0,778;EUR;0
22.04.2010;0,772;0,777;0,772;0,777;EUR;5995.203837
23.04.2010;0,793;0,793;0,785;0,785;EUR;443045.563549
26.04.2010;0,802;0,802;0,802;0,802;EUR;0
27.04.2010;0,779;0,779;0,779;0,779;EUR;0
28.04.2010;0,780;0,782;0,780;0,782;EUR;46462.829736
29.04.2010;0,797;0,797;0,797;0,797;EUR;0
30.04.2010;0,788;0,788;0,788;0,788;EUR;0
03.05.2010;0,788;0,788;0,788;0,788;EUR;0
04.05.2010;0,781;0,781;0,781;0,781;EUR;0
05.05.2010;0,790;0,792;0,790;0,792;EUR;963129.496403
07.05.2010;0,761;0,761;0,729;0,729;EUR;58453.23741
10.05.2010;0,762;0,778;0,762;0,778;EUR;2997.601918
11.05.2010;0,796;0,796;0,796;0,796;EUR;0
12.05.2010;0,812;0,812;0,812;0,812;EUR;0
13.05.2010;0,828;0,828;0,828;0,828;EUR;0
14.05.2010;0,815;0,815;0,800;0,800;EUR;2098.321343
17.05.2010;0,810;0,810;0,802;0,802;EUR;13788.968825
18.05.2010;0,812;0,812;0,812;0,812;EUR;0
19.05.2010;0,799;0,799;0,772;0,772;EUR;726019.184652
20.05.2010;0,759;0,759;0,745;0,745;EUR;411270.983213
21.05.2010;0,689;0,711;0,689;0,711;EUR;17985.611511
24.05.2010;0,730;0,731;0,730;0,731;EUR;299.760192
25.05.2010;0,704;0,704;0,704;0,704;EUR;0
26.05.2010;0,744;0,750;0,744;0,750;EUR;1199.040767
27.05.2010;0,739;0,753;0,739;0,753;EUR;25479.616307
28.05.2010;0,752;0,752;0,752;0,752;EUR;0
31.05.2010;0,755;0,755;0,755;0,755;EUR;2997.601918
01.06.2010;0,744;0,749;0,743;0,749;EUR;4797362.110312
02.06.2010;0,741;0,750;0,739;0,750;EUR;1199040.767386
03.06.2010;0,764;0,778;0,764;0,778;EUR;3026978.417266
04.06.2010;0,784;0,789;0,769;0,773;EUR;12589928.057554
07.06.2010;0,756;0,756;0,756;0,756;EUR;599520.383693
08.06.2010;0,749;0,749;0,729;0,736;EUR;2398081.534772
09.06.2010;0,749;0,760;0,749;0,760;EUR;599520.383693
10.06.2010;0,743;0,757;0,743;0,757;EUR;1798561.151079
11.06.2010;0,757;0,768;0,757;0,768;EUR;1798561.151079
14.06.2010;0,771;0,771;0,771;0,771;EUR;599520.383693
15.06.2010;0,766;0,768;0,762;0,762;EUR;1199040.767386
16.06.2010;0,778;0,778;0,778;0,778;EUR;0
17.06.2010;0,777;0,777;0,770;0,770;EUR;599520.383693
18.06.2010;0,778;0,780;0,778;0,780;EUR;1199040.767386
21.06.2010;0,793;0,793;0,788;0,788;EUR;599520.383693
22.06.2010;0,783;0,783;0,782;0,782;EUR;1199040.767386
23.06.2010;0,765;0,765;0,756;0,756;EUR;1528776.978417
24.06.2010;0,744;0,744;0,727;0,727;EUR;509592.326139
25.06.2010;0,724;0,727;0,721;0,721;EUR;1528776.978417
28.06.2010;0,731;0,731;0,731;0,731;EUR;0
29.06.2010;0,721;0,721;0,700;0,702;EUR;3057553.956835
30.06.2010;0,693;0,693;0,684;0,689;EUR;3567446.043165
01.07.2010;0,666;0,666;0,657;0,657;EUR;2038369.304556
02.07.2010;0,640;0,640;0,626;0,626;EUR;2063848.920863
05.07.2010;0,626;0,626;0,626;0,626;EUR;0
06.07.2010;0,643;0,646;0,641;0,641;EUR;1528776.978417
07.07.2010;0,633;0,651;0,631;0,651;EUR;535071.942446
08.07.2010;0,675;0,675;0,671;0,671;EUR;535971.223022
12.07.2010;0,689;0,700;0,689;0,693;EUR;512290.167866
13.07.2010;0,702;0,710;0,702;0,705;EUR;2547961.630695
14.07.2010;0,701;0,701;0,701;0,701;EUR;509592.326139
16.07.2010;0,680;0,680;0,655;0,655;EUR;1531774.580336
19.07.2010;0,645;0,645;0,640;0,640;EUR;509592.326139
20.07.2010;0,648;0,648;0,647;0,647;EUR;509592.326139
22.07.2010;0,668;0,682;0,668;0,681;EUR;535971.223022
23.07.2010;0,683;0,693;0,683;0,687;EUR;2547961.630695
26.07.2010;0,695;0,695;0,695;0,695;EUR;0
27.07.2010;0,705;0,705;0,696;0,696;EUR;520683.453237
28.07.2010;0,689;0,689;0,689;0,689;EUR;0
29.07.2010;0,680;0,680;0,668;0,668;EUR;509592.326139
30.07.2010;0,665;0,673;0,665;0,673;EUR;1019184.652278
02.08.2010;0,687;0,687;0,687;0,687;EUR;0
04.08.2010;0,685;0,692;0,685;0,692;EUR;509592.326139
05.08.2010;0,696;0,696;0,690;0,690;EUR;25479.616307
06.08.2010;0,675;0,675;0,662;0,662;EUR;2488009.592326
10.08.2010;0,686;0,690;0,686;0,690;EUR;509592.326139
11.08.2010;0,681;0,681;0,681;0,681;EUR;0
12.08.2010;0,674;0,674;0,674;0,674;EUR;0
13.08.2010;0,679;0,679;0,678;0,678;EUR;509592.326139
16.08.2010;0,670;0,670;0,670;0,670;EUR;0
17.08.2010;0,674;0,687;0,674;0,687;EUR;509592.326139
18.08.2010;0,682;0,682;0,682;0,682;EUR;0
19.08.2010;0,663;0,663;0,663;0,663;EUR;599.520384
20.08.2010;0,668;0,671;0,668;0,670;EUR;1019184.652278
23.08.2010;0,678;0,678;0,678;0,678;EUR;0
24.08.2010;0,669;0,669;0,653;0,661;EUR;509892.086331
25.08.2010;0,656;0,656;0,651;0,651;EUR;1019184.652278
26.08.2010;0,655;0,655;0,655;0,655;EUR;0
27.08.2010;0,641;0,654;0,641;0,654;EUR;509592.326139
30.08.2010;0,662;0,662;0,662;0,662;EUR;0
31.08.2010;0,652;0,652;0,652;0,652;EUR;0
03.09.2010;0,694;0,694;0,690;0,690;EUR;509592.326139
06.09.2010;0,698;0,698;0,698;0,698;EUR;0
07.09.2010;0,704;0,704;0,704;0,704;EUR;0
08.09.2010;0,704;0,708;0,704;0,708;EUR;509592.326139
09.09.2010;0,719;0,721;0,719;0,721;EUR;509592.326139
10.09.2010;0,719;0,719;0,719;0,719;EUR;0
13.09.2010;0,720;0,720;0,720;0,720;EUR;0
14.09.2010;0,717;0,717;0,712;0,712;EUR;1528776.978417
15.09.2010;0,705;0,705;0,705;0,705;EUR;0
16.09.2010;0,697;0,697;0,697;0,697;EUR;0
17.09.2010;0,705;0,705;0,705;0,705;EUR;0
20.09.2010;0,719;0,719;0,719;0,719;EUR;0
21.09.2010;0,715;0,715;0,715;0,715;EUR;0
23.09.2010;0,676;0,689;0,676;0,689;EUR;299.760192
24.09.2010;0,686;0,686;0,686;0,686;EUR;0
27.09.2010;0,686;0,686;0,684;0,684;EUR;509592.326139
28.09.2010;0,686;0,686;0,677;0,677;EUR;2040467.625899
29.09.2010;0,672;0,672;0,671;0,671;EUR;509592.326139
30.09.2010;0,676;0,678;0,669;0,669;EUR;2547961.630695
01.10.2010;0,656;0,656;0,656;0,656;EUR;0
04.10.2010;0,655;0,655;0,655;0,655;EUR;0
05.10.2010;0,655;0,663;0,655;0,663;EUR;509892.086331
06.10.2010;0,662;0,662;0,662;0,662;EUR;0
07.10.2010;0,652;0,657;0,652;0,657;EUR;2997.601918
08.10.2010;0,657;0,664;0,657;0,664;EUR;509592.326139
11.10.2010;0,666;0,670;0,666;0,670;EUR;29976.019185
12.10.2010;0,672;0,672;0,672;0,672;EUR;0
13.10.2010;0,678;0,678;0,678;0,678;EUR;0
14.10.2010;0,664;0,664;0,664;0,664;EUR;0
15.10.2010;0,664;0,668;0,664;0,668;EUR;2997.601918
18.10.2010;0,677;0,677;0,677;0,677;EUR;0
19.10.2010;0,681;0,687;0,681;0,687;EUR;1019184.652278
20.10.2010;0,683;0,683;0,677;0,677;EUR;599.520384
21.10.2010;0,682;0,682;0,682;0,682;EUR;0
22.10.2010;0,683;0,685;0,683;0,685;EUR;520683.453237
25.10.2010;0,688;0,688;0,688;0,688;EUR;0
26.10.2010;0,695;0,695;0,695;0,695;EUR;0
27.10.2010;0,691;0,691;0,691;0,691;EUR;0
28.10.2010;0,686;0,686;0,686;0,686;EUR;0
29.10.2010;0,691;0,691;0,688;0,688;EUR;509592.326139
01.11.2010;0,698;0,698;0,698;0,698;EUR;0
02.11.2010;0,689;0,689;0,689;0,689;EUR;0
03.11.2010;0,687;0,687;0,687;0,687;EUR;0
04.11.2010;0,696;0,696;0,696;0,696;EUR;0
09.11.2010;0,740;0,740;0,740;0,740;EUR;0
10.11.2010;0,743;0,743;0,740;0,742;EUR;1019184.652278
11.11.2010;0,742;0,746;0,742;0,746;EUR;509592.326139
12.11.2010;0,741;0,741;0,733;0,733;EUR;1528776.978417
