"date","eu_price","eu_gdtr_l1","eu_gdtr_l2","eu_ndtr_l1","eu_ndtr_l2","eu_gdtr_s1","eu_gdtr_s2","eu_ndtr_s1","eu_ndtr_s2"
1990-01-01,100,100,100,100,100,100,100,100,100
1990-01-02,100.35533,100.36046,100.69733,100.35891,100.69428,99.68118,99.34031,99.6827,99.34335
1990-01-03,100.60388,100.61322,101.18094,100.61043,101.17535,99.47145,98.90045,99.47422,98.90597
1990-01-04,98.18193,98.19926,96.30254,98.19408,96.29226,101.89831,103.70503,101.90358,103.71568
1990-01-05,96.49707,96.5213,92.98959,96.51405,92.97546,103.68006,107.30979,103.68766,107.32534
1990-01-06,96.47301,96.50013,92.92778,96.49203,92.91198,103.74402,107.41952,103.75256,107.43702
1990-01-07,96.48078,96.5108,92.92729,96.50182,92.90983,103.77379,107.45849,103.78326,107.47792
1990-01-08,96.45419,96.48709,92.8606,96.47724,92.84148,103.84051,107.57399,103.85092,107.59538
1990-01-09,95.74726,95.78564,91.48945,95.77417,91.46735,104.63665,109.20083,104.64896,109.22631
1990-01-10,94.87635,94.92032,89.81574,94.90717,89.79068,105.62357,111.23768,105.63792,111.26765
1990-01-11,95.51587,95.56671,91.0188,95.55153,90.98968,104.94609,109.78729,104.96254,109.82149
1990-01-12,92.67972,92.73754,85.60915,92.72024,85.57693,108.09452,116.35152,108.11425,116.39361
1990-01-13,92.65649,92.71708,85.55211,92.69897,85.51837,108.16115,116.47048,108.18187,116.5147
1990-01-14,92.64658,92.70995,85.51963,92.69101,85.48436,108.21232,116.55618,108.23402,116.60252
1990-01-15,92.66235,92.72849,85.53463,92.70872,85.49782,108.23349,116.57725,108.25616,116.6257
1990-01-16,94.09367,94.16844,88.17167,94.1461,88.12954,106.59594,113.02499,106.62093,113.07768
1990-01-17,92.83269,92.91287,85.80048,92.88891,85.7559,108.05969,116.10512,108.08718,116.16383
1990-01-18,93.67888,93.76669,87.358,93.74044,87.30881,107.1096,114.03896,107.13924,114.10177
1990-01-19,94.04236,94.13556,88.02545,94.10772,87.97308,106.73107,113.20871,106.76232,113.27473
1990-01-20,93.77138,93.86821,87.50529,93.83927,87.45108,107.07715,113.91871,107.10981,113.98791
1990-01-21,93.11233,93.21398,86.26542,93.18363,86.20895,107.86675,115.57436,107.90152,115.64852
1990-01-22,92.34037,92.44685,84.82564,92.41506,84.767,108.79835,117.54574,108.83536,117.62534
1990-01-23,91.2744,91.38569,82.85859,91.35249,82.798,110.09186,120.31514,110.13143,120.40121
1990-01-24,90.16891,90.28491,80.84339,90.25031,80.78101,111.46249,123.28515,111.50472,123.37809
1990-01-25,89.3913,89.51182,79.44077,89.47587,79.37653,112.46085,125.46783,112.5055,125.56691
1990-01-26,89.12309,89.24705,78.95304,89.21007,78.88722,112.83757,126.28228,112.88376,126.38512
1990-01-27,88.8017,88.92927,78.37326,88.8912,78.30579,113.28323,127.25369,113.33114,127.36075
1990-01-28,88.39897,88.53047,77.65309,88.49125,77.58389,113.83496,128.46708,113.8848,128.57897
1990-01-29,87.88415,88.01981,76.74025,87.97938,76.66932,114.53521,130.02138,114.58723,130.13886
1990-01-30,87.115,87.25489,75.39029,87.21318,75.3178,115.57248,132.35101,115.62706,132.47535
1990-01-31,88.87277,89.02304,78.43531,88.97823,78.356,113.25612,127.02941,113.3126,127.1556
1990-02-01,89.45298,89.61034,79.45213,89.56345,79.36858,112.55502,125.42925,112.61347,125.55907
1990-02-02,90.13781,90.30283,80.66199,90.25366,80.57376,111.7304,123.56464,111.79084,123.69791
1990-02-03,90.08297,90.25061,80.55027,90.20063,80.46069,111.83991,123.7805,111.90142,123.91625
1990-02-04,89.92331,90.09382,80.25196,90.04298,80.16105,112.0792,124.28375,112.142,124.42262
1990-02-05,89.70444,89.87798,79.84908,89.82622,79.7568,112.39283,124.95275,112.45709,125.09521
1990-02-06,88.75153,88.92902,78.1446,88.87609,78.05124,113.62494,127.66555,113.69205,127.81588
1990-02-07,89.68835,89.87448,79.78829,89.81896,79.68942,112.46279,125.02668,112.5318,125.17971
1990-02-08,90.27982,90.47341,80.83343,90.41566,80.72998,111.75872,123.43446,111.82962,123.5907
1990-02-09,90.59553,90.79435,81.38846,90.73508,81.28187,111.40724,122.63167,111.4796,122.79063
1990-02-10,90.30087,90.50295,80.84746,90.44272,80.73947,111.80965,123.49135,111.88371,123.65459
1990-02-11,89.58112,89.78709,79.54986,89.72565,79.44072,112.73924,125.51832,112.81592,125.68866
1990-02-12,89.28767,89.4969,79.01744,89.43452,78.90697,113.14915,126.40413,113.22757,126.57893
1990-02-13,89.87637,90.09311,80.05213,90.0285,79.93696,112.44109,124.795,112.52135,124.97278
1990-02-14,89.981,90.20101,80.22555,90.13542,80.10856,112.3517,124.56991,112.433,124.74984
1990-02-15,91.09034,91.32014,82.19801,91.25161,82.07439,111.00268,121.55201,111.08564,121.73343
1990-02-16,90.47092,90.70446,81.07112,90.63486,80.94637,111.79511,123.26184,111.88058,123.45
1990-02-17,90.04528,90.2824,80.29832,90.21172,80.1723,112.35967,124.4808,112.44727,124.67458
1990-02-18,89.70208,89.94254,79.67564,89.87088,79.54836,112.82719,125.49048,112.91671,125.6893
1990-02-19,89.34519,89.589,79.03135,89.51635,78.90285,113.31533,126.54994,113.40684,126.75399
1990-02-20,88.93327,89.18053,78.29295,89.10685,78.16327,113.87665,127.77717,113.97033,127.98703
1990-02-21,88.46325,88.71401,77.45587,88.63929,77.32509,114.51823,129.18966,114.61425,129.4059
1990-02-22,87.81277,88.06695,76.3087,87.99122,76.17715,115.39824,131.14833,115.49701,131.3724
1990-02-23,87.84952,88.10646,76.36112,88.02992,76.22809,115.38878,131.10114,115.48859,131.32752
