"date","sim_l2","sim_l1","sim_s2","sim_s1","eu_index_l2","eu_index_l1","us_index_l2","us_index_l1","eu_index_s2","eu_index_s1","us_index_s2","us_index_s1"
1990-01-01,100,100,100,100,100,100,100,100,100,100,100,100
1990-01-02,100.693122765486,100.344164147491,100.52329219708,100.468312973349,100.69428,100.35891,99.90565,99.96527,99.34031,99.68118,100.13257,100.07799
1990-01-03,101.173021981193,100.581799426585,101.613066962829,101.278531418303,101.17535,100.61043,99.36813,99.70856,98.90045,99.47145,100.7084,100.37722
1990-01-04,96.2888735307094,98.1514858494251,101.811527717077,100.599668710959,96.29226,98.19408,97.63334,98.85027,103.70503,101.89831,102.50192,101.28243
1990-01-05,92.9710758900272,96.4585836876315,103.083005185941,100.863870262721,92.97546,96.51405,95.70519,97.88602,107.30979,103.68006,104.5615,102.31134
1990-01-06,92.9065229899473,96.4239725202978,102.722164409025,100.621180670455,92.91198,96.49203,95.92851,98.01196,107.41952,103.74402,104.3554,102.222
1990-01-07,92.9032979698736,96.4213438526132,102.167401960918,100.262763546725,92.90983,96.50182,96.29533,98.2111,107.45849,103.77379,103.994,102.05648
1990-01-08,92.8338776661948,96.3841988006682,101.804709050987,100.017327959182,92.84148,96.47724,96.52172,98.3384,107.57399,103.84051,103.7876,101.96676
1990-01-09,91.4587858812931,95.669450114552,104.739122912051,101.697109737253,91.46735,95.77417,94.222,97.17875,109.20083,104.63665,106.29626,103.21061
1990-01-10,89.781214475832,94.7901739239656,105.917040563741,102.153019879829,89.79068,94.90717,92.95634,96.5376,111.23768,105.62357,107.76089,103.93315
1990-01-11,90.9790491008459,95.4193311596715,105.559748024552,102.154233006116,90.98968,95.55153,93.59632,96.8815,109.78729,104.94609,107.05746,103.60561
1990-01-12,85.5658786656674,92.5777229155063,110.28108457436,104.19130664039,85.57693,92.72024,88.94454,94.48553,116.35152,108.09452,112.41483,106.20951
1990-01-13,85.5063360301774,92.5448023935147,111.550073704784,104.98324516875,85.51837,92.69897,88.26423,94.13546,116.47048,108.16115,113.31469,106.64648
1990-01-14,85.4713413071626,92.5250277119623,112.671832729976,105.684601859012,85.48436,92.69101,87.68237,93.8364,116.55618,108.21232,114.1022,107.02898
1990-01-15,85.4838101534338,92.5306017400665,113.338010042506,106.108301518921,85.49782,92.70872,87.36152,93.67591,116.57725,108.23349,114.56084,107.25605
1990-01-16,88.1141096662904,93.9524435469606,111.325513712862,105.401191614961,88.12954,94.1461,89.30192,94.7276,113.02499,106.59594,112.05566,106.09554
1990-01-17,85.7398655728257,92.685145232652,113.172793864663,106.098542697685,85.7559,92.88891,87.52471,93.79644,116.10512,108.05969,114.32462,107.18168
1990-01-18,87.2914930022181,93.5200121755832,113.459106553893,106.601139006303,87.30881,93.74044,87.92073,94.01991,114.03896,107.1096,113.84868,106.97066
1990-01-19,87.9546210823401,93.8730120666181,112.985456811824,106.443696704587,87.97308,94.10772,88.40668,94.29099,113.20871,106.73107,113.26018,106.70619
1990-01-20,87.4317127695573,93.5934221158342,114.813924698303,107.49166459066,87.45108,93.83927,87.30125,93.71278,113.91871,107.07715,114.71613,107.40402
1990-01-21,86.1888460661744,92.9275194959479,118.831487126318,109.749763583997,86.20895,93.18363,84.88662,92.42801,115.57436,107.86675,117.92823,108.91974
1990-01-22,84.7462349219522,92.1481663392033,120.129974280325,110.247831516698,84.767,92.41506,83.81077,91.85336,117.54574,108.79835,119.46423,109.6413
