"date","us_price","us_gdtr_l1","us_gdtr_l2","us_ndtr_l1","us_ndtr_l2","us_gdtr_s1","us_gdtr_s2","us_ndtr_s1","us_ndtr_s2"
1990-01-01,100,100,100,100,100,100,100,100,100
1990-01-02,99.96281,99.96632,99.90775,99.96527,99.90565,100.07799,100.13257,100.07903,100.13467
1990-01-03,99.70332,99.71079,99.37257,99.70856,99.36813,100.37722,100.7084,100.37945,100.71287
1990-01-04,98.84049,98.8544,97.64155,98.85027,97.63334,101.28243,102.50192,101.28662,102.51037
1990-01-05,97.8716,97.89211,95.71718,97.88602,95.70519,102.31134,104.5615,102.31763,104.57426
1990-01-06,97.99496,98.01915,95.94267,98.01196,95.92851,102.222,104.3554,102.22942,104.37047
1990-01-07,98.19134,98.21947,96.31183,98.2111,96.29533,102.05648,103.994,102.0651,104.0115
1990-01-08,98.31606,98.34788,96.5404,98.3384,96.52172,101.96676,103.7876,101.97652,103.80738
1990-01-09,97.15178,97.19019,94.2443,97.17875,94.222,103.21061,106.29626,103.22263,106.32089
1990-01-10,96.50685,96.55063,92.98157,96.5376,92.95634,103.93315,107.76089,103.94702,107.7895
1990-01-11,96.84746,96.89593,93.62434,96.8815,93.59632,103.60561,107.05746,103.6209,107.08892
1990-01-12,94.44767,94.50158,88.97498,94.48553,88.94454,106.20951,112.41483,106.2273,112.45223
1990-01-13,94.09479,94.15269,88.29678,94.13546,88.26423,106.64648,113.31469,106.66574,113.35535
1990-01-14,93.79309,93.85475,87.71691,93.8364,87.68237,107.02898,114.1022,107.04964,114.14597
1990-01-15,93.63023,93.69527,87.39787,93.67591,87.36152,107.25605,114.56084,107.27793,114.6073
1990-01-16,94.67619,94.74938,89.3432,94.7276,89.30192,106.09554,112.05566,106.11971,112.10651
1990-01-17,93.74098,93.81993,87.56879,93.79644,87.52471,107.18168,114.32462,107.20825,114.38104
1990-01-18,93.96161,94.04462,87.96717,94.01991,87.92073,106.97066,113.84868,106.99851,113.90769
1990-01-19,94.22966,94.31699,88.45566,94.29099,88.40668,106.70619,113.26018,106.73536,113.32186
1990-01-20,93.64813,93.74018,87.35255,93.71278,87.30125,107.40402,114.71613,107.43514,114.78234
1990-01-21,92.35958,92.45702,84.94019,92.42801,84.88662,108.91974,117.92823,108.95357,118.00114
1990-01-22,91.7817,91.88372,83.86647,91.85336,83.81077,109.6413,119.46423,109.67716,119.54201
1990-01-23,92.125,92.23183,84.48187,92.20003,84.42334,109.27239,118.6335,109.30971,118.7142
