"date","eu_price","eu_gdtr_l1","eu_gdtr_l2","eu_ndtr_l1","eu_ndtr_l2","eu_gdtr_s1","eu_gdtr_s2","eu_ndtr_s1","eu_ndtr_s2"
1990-01-01,100,100,100,100,100,100,100,100,100
1990-01-02,100.35518,100.36034,100.69695,100.35878,100.6939,99.68126,99.34046,99.68278,99.3435
1990-01-03,100.6037,100.61306,101.18039,100.61029,101.17481,99.47149,98.90053,99.47425,98.90604
1990-01-04,98.18177,98.19914,96.30192,98.19394,96.29165,101.89828,103.70499,101.90356,103.71562
1990-01-05,96.4969,96.52114,92.9889,96.51389,92.97477,103.67997,107.30961,103.68756,107.32515
1990-01-06,96.47323,96.50036,92.92769,96.49225,92.9119,103.74348,107.41839,103.75201,107.43588
1990-01-07,96.48013,96.51015,92.92544,96.50116,92.90798,103.7741,107.45914,103.78357,107.47857
1990-01-08,96.45397,96.48687,92.85951,96.47703,92.8404,103.84028,107.57352,103.85068,107.5949
1990-01-09,95.74703,95.78543,91.48829,95.77394,91.46619,104.63635,109.2002,104.64865,109.22568
1990-01-10,94.87611,94.92011,89.81451,94.90698,89.78944,105.62319,111.23689,105.63755,111.26687
1990-01-11,95.5156,95.56649,91.0174,95.55129,90.98827,104.94569,109.78645,104.96214,109.82066
1990-01-12,92.67946,92.7373,85.60774,92.72003,85.57552,108.09403,116.35049,108.11377,116.39257
1990-01-13,92.65694,92.71756,85.55189,92.69944,85.51815,108.15979,116.46757,108.1805,116.51178
1990-01-14,92.64717,92.71052,85.51958,92.6916,85.48431,108.21073,116.55276,108.23242,116.5991
1990-01-15,92.66206,92.72822,85.53285,92.70843,85.49604,108.23286,116.57592,108.25553,116.62436
1990-01-16,94.0933,94.16811,88.16969,94.14577,88.12756,106.59529,113.02363,106.62028,113.07632
1990-01-17,92.83235,92.91255,85.79847,92.88857,85.75389,108.05896,116.10357,108.08645,116.16228
1990-01-18,93.67849,93.76634,87.3558,93.74007,87.30661,107.10884,114.03737,107.13849,114.10018
1990-01-19,94.04196,94.13517,88.02308,94.10733,87.97072,106.73028,113.20706,106.76154,113.27307
1990-01-20,93.77082,93.86767,87.50259,93.83872,87.44838,107.07645,113.91723,107.10912,113.98644
1990-01-21,93.11173,93.21342,86.26263,93.18305,86.20615,107.866,115.57277,107.90077,115.64694
1990-01-22,92.33993,92.44647,84.8231,92.41467,84.76445,108.79734,117.54358,108.83436,117.6232
1990-01-23,91.274,91.38532,82.85603,91.35212,82.79543,110.09076,120.31277,110.13034,120.39886
1990-01-24,90.16849,90.28452,80.84082,90.24991,80.77842,111.4613,123.28256,111.50355,123.37552
1990-01-25,89.39088,89.51145,79.43816,89.47549,79.3739,112.45958,125.46502,112.50424,125.56413
1990-01-26,89.12265,89.24665,78.95035,89.20967,78.88451,112.83623,126.27931,112.88244,126.38219
1990-01-27,88.80125,88.92888,78.37052,88.89079,78.30302,113.28181,127.25052,113.32974,127.35763
1990-01-28,88.39843,88.53002,77.65016,88.49077,77.58092,113.83355,128.46394,113.88342,128.57589
1990-01-29,87.8837,88.01945,76.73739,87.97897,76.66642,114.53364,130.01784,114.58569,130.13539
1990-01-30,87.1145,87.25451,75.38741,87.21279,75.31488,115.57081,132.34723,115.62543,132.47164
1990-01-31,88.87224,89.02263,78.43219,88.9778,78.35283,113.25445,127.0257,113.31096,127.15196
1990-02-01,89.45241,89.60991,79.44883,89.56294,79.36523,112.55333,125.42552,112.61181,125.5554
1990-02-02,90.13724,90.30235,80.6585,90.25314,80.57022,111.72869,123.56089,111.78916,123.69422
1990-02-03,90.08088,90.24866,80.54406,90.19861,80.45444,111.83995,123.78063,111.90151,123.91646
1990-02-04,89.9214,90.09203,80.246,90.04114,80.15504,112.07896,124.28324,112.1418,124.42219
