"date","sim_l2","sim_l1","sim_s2","sim_s1","eu_index_l2","eu_index_l1","us_index_l2","us_index_l1","eu_index_s2","eu_index_s1","us_index_s2","us_index_s1"
1990-01-01,100,100,100,100,100,100,100,100,100,100,100,100
1990-01-02,100.692742765486,100.340891945499,100.523282630084,100.468062502298,100.6939,100.35878,99.90537,99.96518,99.34046,99.68126,100.13263,100.07801
1990-01-03,101.172481987408,100.575373530568,101.612956802346,101.278027248611,101.17481,100.61029,99.36771,99.70846,98.90053,99.47149,100.70837,100.3772
1990-01-04,96.2882635450843,98.1421615449506,101.811266150423,100.598906165228,96.29165,98.19394,97.63285,98.85017,103.70499,101.89828,102.50172,101.28233
1990-01-05,92.9703859145184,96.4464073829687,103.082564131344,100.862815831264,92.97477,96.51389,95.70463,97.88594,107.30961,103.67997,104.56113,102.31116
1990-01-06,92.9064429936649,96.4091950916243,102.721689909427,100.620063770913,92.9119,96.49225,95.92805,98.01197,107.41839,103.74348,104.35468,102.22165
1990-01-07,92.9014480784746,96.4027145481302,102.16667961562,100.260997249751,92.90798,96.50116,96.29427,98.21085,107.45914,103.7741,103.99369,102.05632
1990-01-08,92.8327977420841,96.3630418086561,101.804025637388,100.015572666343,92.8404,96.47703,96.52073,98.33825,107.57352,103.84028,103.78695,101.96644
1990-01-09,91.4576259764162,95.6454378734503,104.738256435582,101.695028468102,91.46619,95.77394,94.22096,97.17861,109.2002,104.63635,106.29545,103.21021
1990-01-10,89.7799745921156,94.7634128242899,105.915995957087,102.150638690521,89.78944,94.90698,92.95523,96.53746,111.23689,105.62319,107.75991,103.93267
1990-01-11,90.9776392492062,95.3894366287461,105.558603747664,102.151607245856,90.98827,95.55129,93.59506,96.88134,109.78645,104.94569,107.05637,103.60508
1990-01-12,85.5644688313173,92.5457502863787,110.27979036639,104.188375169546,85.57552,92.72003,88.94324,94.48536,116.35049,108.09403,112.4136,106.20893
1990-01-13,85.5061160584778,92.5106612004151,111.548918386648,104.98046519786,85.51815,92.69944,88.26314,94.13544,116.46757,108.15979,113.31293,106.64565
1990-01-14,85.4712913140876,92.4881667556778,112.670585142647,105.681613079931,85.48431,92.6916,87.68126,93.83642,116.55276,108.21073,114.10021,107.02804
1990-01-15,85.4820304244046,92.4899777195193,113.336380468205,106.104541693435,85.49604,92.70843,87.35988,93.67569,116.57592,108.23286,114.55927,107.25531
