"date","us_price","us_gdtr_l1","us_gdtr_l2","us_ndtr_l1","us_ndtr_l2","us_gdtr_s1","us_gdtr_s2","us_ndtr_s1","us_ndtr_s2"
1990-01-01,100,100,100,100,100,100,100,100,100
1990-01-02,99.96273,99.96623,99.90746,99.96518,99.90537,100.07801,100.13263,100.07906,100.13472
1990-01-03,99.70322,99.71067,99.37214,99.70846,99.36771,100.3772,100.70837,100.37943,100.71283
1990-01-04,98.84039,98.85431,97.64106,98.85017,97.63285,101.28233,102.50172,101.28652,102.51017
1990-01-05,97.8715,97.89203,95.71664,97.88594,95.70463,102.31116,104.56113,102.31745,104.5739
1990-01-06,97.99496,98.01917,95.94222,98.01197,95.92805,102.22165,104.35468,102.22907,104.36976
1990-01-07,98.19108,98.21923,96.31079,98.21085,96.29427,102.05632,103.99369,102.06496,104.01121
1990-01-08,98.31588,98.34774,96.53944,98.33825,96.52073,101.96644,103.78695,101.97621,103.80676
1990-01-09,97.15161,97.19006,94.24329,97.17861,94.22096,103.21021,106.29545,103.22225,106.32011
1990-01-10,96.50668,96.5505,92.98049,96.53746,92.95523,103.93267,107.75991,103.94656,107.78856
1990-01-11,96.84725,96.89579,93.62313,96.88134,93.59506,103.60508,107.05637,103.6204,107.08788
1990-01-12,94.44748,94.50142,88.9737,94.48536,88.94324,106.20893,112.4136,106.22673,112.45103
1990-01-13,94.09476,94.15268,88.29571,94.13544,88.26314,106.64565,113.31293,106.66492,113.35362
1990-01-14,93.79309,93.85478,87.71581,93.83642,87.68126,107.02804,114.10021,107.04871,114.144
1990-01-15,93.63,93.69505,87.39624,93.67569,87.35988,107.25531,114.55927,107.2772,114.60575
1990-01-16,94.67594,94.74912,89.34135,94.72734,89.30008,106.0948,112.05411,106.11897,112.10494
1990-01-17,93.74074,93.81968,87.56691,93.79619,87.52284,107.18085,114.32285,107.20742,114.37927
1990-01-18,93.96135,94.04435,87.96517,94.01965,87.91872,106.96978,113.8468,106.99762,113.90582
1990-01-19,94.22937,94.31671,88.45353,94.2907,88.40453,106.70526,113.25821,106.73444,113.3199
1990-01-20,93.64785,93.73992,87.3504,93.71251,87.29908,107.40298,114.71392,107.43411,114.78016
1990-01-21,92.35927,92.45672,84.93793,92.42771,84.88436,108.91867,117.92591,108.9525,117.99884
1990-01-22,91.78141,91.88345,83.86421,91.85308,83.80848,109.64011,119.46166,109.67599,119.53947
1990-01-23,92.12468,92.23154,84.47948,92.19973,84.42092,109.27115,118.63083,109.30849,118.71157
1990-01-24,91.74796,91.85862,83.77553,91.82568,83.71515,109.76048,119.66601,109.79948,119.75068
1990-01-25,90.58128,90.69707,81.6366,90.66261,81.57423,111.19515,122.76729,111.23698,122.85922
1990-01-26,90.50334,90.62224,81.48215,90.58685,81.41818,111.33426,123.04676,111.37732,123.14149
1990-01-27,90.44292,90.56493,81.35939,90.52861,81.2938,111.4521,123.27946,111.49638,123.37695
1990-01-28,90.39946,90.52458,81.26723,90.48733,81.20002,111.54923,123.4665,111.59471,123.56672
1990-01-29,90.33651,90.46473,81.14012,90.42655,81.07131,111.6705,123.70708,111.7172,123.81009
1990-01-30,89.71691,89.84957,80.01703,89.81008,79.94634,112.47737,125.46686,112.52635,125.57565
1990-01-31,91.41605,91.55796,83.0405,91.5157,82.96356,110.38678,120.77442,110.43738,120.88478
1990-02-01,91.33533,91.48035,82.87962,91.43716,82.80107,110.52744,121.05491,110.57926,121.16807
1990-02-02,91.92958,92.0814,83.9487,92.03618,83.86597,109.84826,119.53988,109.90188,119.65626
1990-02-03,92.07443,92.23002,84.19941,92.18367,84.11451,109.7177,119.22878,109.77252,119.3476
1990-02-04,92.16663,92.32574,84.35385,92.27834,84.26696,109.65051,119.05585,109.70649,119.17711
1990-02-05,92.18966,92.35207,84.38161,92.30368,84.29291,109.66583,119.06231,109.72298,119.1861
1990-02-06,91.5784,91.74507,83.25211,91.69541,83.1617,110.43305,120.7015,110.49248,120.83107
1990-02-07,92.71882,92.89488,85.31877,92.84243,85.22218,109.09595,117.75146,109.15727,117.88359
1990-02-08,92.49848,92.67773,84.89933,92.62433,84.80125,109.39726,118.37542,109.46002,118.51097
1990-02-09,92.68282,92.86611,85.22401,92.8115,85.12353,109.22133,117.96804,109.28529,118.10595
1990-02-10,92.45641,92.64287,84.79375,92.58732,84.69181,109.53022,118.60878,109.59563,118.75017
1990-02-11,91.91935,92.10975,83.7974,92.05302,83.69394,110.20701,120.04787,110.27458,120.19479
1990-02-12,91.6951,91.88863,83.37488,91.83097,83.27,110.51834,120.69912,110.58738,120.84963
1990-02-13,91.9575,92.1556,83.83926,92.09657,83.73162,110.24414,120.07306,110.31446,120.22595
1990-02-14,92.23385,92.43664,84.33042,92.37621,84.21992,109.95472,119.4156,110.02632,119.57086
1990-02-15,93.03726,93.24862,85.7914,93.18564,85.67529,109.03618,117.39323,109.10959,117.55109
